,Compound,Negative,Neutral,Positive,Text,Time Sent,Tweet Count,User
29,0.5267,0.815,0.0,0.185,"When you're enjoying being single and people just can't deal with it. 🙄😂 @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",Sun Mar 25 17:30:07 +0000 2018,500,BBC
30,0.4588,0.833,0.0,0.167,"🇺🇸🏝🇬🇧 Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",Sun Mar 25 15:03:03 +0000 2018,500,BBC
31,0.0,1.0,0.0,0.0,"💬 We could listen to him speak all day. 

📽 Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",Sun Mar 25 14:30:02 +0000 2018,500,BBC
32,0.1779,0.909,0.0,0.091,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ♻️🌊💔… https://t.co/uKD9BQWmUi",Sun Mar 25 14:09:03 +0000 2018,500,BBC
33,0.5574,0.816,0.0,0.184,"👽✨🛸 @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",Sun Mar 25 13:03:04 +0000 2018,500,BBC
34,0.0,1.0,0.0,0.0,"Weighing just 100g, a newborn panda is one 900th the size of its mum! 🐼💕 #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",Sun Mar 25 12:03:02 +0000 2018,500,BBC
35,0.0,1.0,0.0,0.0,🐟Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,Sun Mar 25 10:30:04 +0000 2018,500,BBC
36,-0.3612,0.839,0.161,0.0,"Ever wondered what made you feel moody? It might be your gut.

👉 https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",Sun Mar 25 09:30:15 +0000 2018,500,BBC
37,0.5719,0.764,0.0,0.236,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d",Sun Mar 25 08:43:31 +0000 2018,500,BBC
38,-0.4019,0.899,0.101,0.0,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…",Sun Mar 25 08:43:26 +0000 2018,500,BBC
39,0.0,1.0,0.0,0.0,RT @BBCSport: A simply astonishing confession from Australia captain Steve Smith and batsman Cameron Bancroft 😳 https://t.co/YaE7fBZamq,Sun Mar 25 08:43:22 +0000 2018,500,BBC
40,-0.25,0.743,0.153,0.104,A woman who drinks 30 cans a day says her addiction to energy drinks is worse than gambling.… https://t.co/d11ATW0F0f,Sun Mar 25 08:00:12 +0000 2018,500,BBC
41,0.0,1.0,0.0,0.0,You learn something new every day. Here's how to poo a baby jaguar. 🤷💩#BigCatsAboutTheHouse https://t.co/Eg5rF1414b,Sun Mar 25 07:34:02 +0000 2018,500,BBC
42,-0.4215,0.859,0.141,0.0,When the clocks have gone forward but there's no way you're getting out of bed yet. 🙅‍♂️⏰#DaylightSavings https://t.co/cHBPV3ITsQ,Sun Mar 25 07:02:00 +0000 2018,500,BBC
43,-0.3818,0.885,0.115,0.0,"""I still see people screaming for help.""

This Sunday at 9pm on @BBCTwo, @REGYATES meets the people whose lives wer… https://t.co/RS16yXF17H",Sat Mar 24 20:34:01 +0000 2018,500,BBC
44,0.4767,0.866,0.0,0.134,"The story of the last decade of Picasso's life, through the words of family and friends. 🎨

Picasso's Last Stand |… https://t.co/RyiuI8KgSk",Sat Mar 24 20:00:11 +0000 2018,500,BBC
